T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
0.0025293947645910904,0.03277667029195598,0.00805226573907099,0.0025293947645910904,0.03277667029195598,0.00805226573907099,0.0025293947645910904,0.03277667029195598,0.00805226573907099,0.0025293947645910904,0.03277667029195598,0.00805226573907099,Corridor
8.049235520305377e-05,0.0010405448049127886,0.00025560277247944576,8.049235520305377e-05,0.0010405448049127886,0.00025560277247944576,8.049235520305377e-05,0.0010405448049127886,0.00025560277247944576,8.049235520305377e-05,0.0010405448049127886,0.00025560277247944576,Corridor
1.3146710724329482e-05,0.00017053083032550592,4.187764972437605e-05,1.3146710724329482e-05,0.00017053083032550592,4.187764972437605e-05,1.3146710724329482e-05,0.00017053083032550592,4.187764972437605e-05,1.3146710724329482e-05,0.00017053083032550592,4.187764972437605e-05,Corridor
5.420040816562053e-06,6.552155637358484e-05,1.6095197649781908e-05,5.420040816562053e-06,6.552155637358484e-05,1.6095197649781908e-05,5.420040816562053e-06,6.552155637358484e-05,1.6095197649781908e-05,5.420040816562053e-06,6.552155637358484e-05,1.6095197649781908e-05,Corridor
1.041257626322937e-05,9.937211323510674e-05,2.4226889155387683e-05,1.041257626322937e-05,9.937211323510674e-05,2.4226889155387683e-05,1.041257626322937e-05,9.937211323510674e-05,2.4226889155387683e-05,1.041257626322937e-05,9.937211323510674e-05,2.4226889155387683e-05,Corridor
8.322045064564188e-06,0.00010698271140816498,2.6271705154426037e-05,8.322045064564188e-06,0.00010698271140816498,2.6271705154426037e-05,8.322045064564188e-06,0.00010698271140816498,2.6271705154426037e-05,8.322045064564188e-06,0.00010698271140816498,2.6271705154426037e-05,Corridor
3.6812423042934606e-06,1.8907345303318586e-05,4.4118015791185556e-06,3.6812423042934606e-06,1.8907345303318586e-05,4.4118015791185556e-06,3.6812423042934606e-06,1.8907345303318586e-05,4.4118015791185556e-06,3.6812423042934606e-06,1.8907345303318586e-05,4.4118015791185556e-06,Corridor
4.062722372926114e-06,4.8573496710324846e-05,1.1931651936122113e-05,4.062722372926114e-06,4.8573496710324846e-05,1.1931651936122113e-05,4.062722372926114e-06,4.8573496710324846e-05,1.1931651936122113e-05,4.062722372926114e-06,4.8573496710324846e-05,1.1931651936122113e-05,Corridor
6.734958556388543e-06,5.4974004782656394e-05,1.3331522633009539e-05,6.734958556388543e-06,5.4974004782656394e-05,1.3331522633009539e-05,6.734958556388543e-06,5.4974004782656394e-05,1.3331522633009539e-05,6.734958556388543e-06,5.4974004782656394e-05,1.3331522633009539e-05,Corridor
4.520312045768755e-06,3.0217514426593417e-05,7.232560381202366e-06,4.520312045768755e-06,3.0217514426593417e-05,7.232560381202366e-06,4.520312045768755e-06,3.0217514426593417e-05,7.232560381202366e-06,4.520312045768755e-06,3.0217514426593417e-05,7.232560381202366e-06,Corridor
