index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
1,5647.08,-0.000809716,0.0014867,0.00152128,6.70763e-14,4.97635e-12,-1.34081e-08
2,5647.18,-0.00109924,0.00218508,0.00222541,-0.000240017,-6.50813e-05,0.000167259
3,5647.28,0.000195788,0.00237494,0.00232023,-0.000357284,-0.000108895,0.000175075
4,5647.38,-0.000962379,0.00253199,0.00231085,-0.000231086,-6.51442e-05,0.000167075
5,5647.48,-0.000652387,0.00232222,0.00230827,-0.000342759,-6.63163e-05,6.53013e-05
6,5647.58,-0.00045865,0.0025394,0.00176564,-0.000267991,-2.07013e-05,0.000246646
7,5647.68,-0.000583228,0.0022721,0.00164783,-0.0003924,1.06388e-05,0.000285774
8,5647.78,0.000419341,0.00211572,0.00166504,-0.000494843,1.45165e-05,0.000280886
9,5647.88,6.90876e-05,0.00286148,0.00167588,-0.000496953,7.69697e-08,0.00028575
10,5647.98,-0.000373332,0.00241485,0.00162372,-0.000622607,1.09415e-06,0.000171287
11,5648.08,-0.000300367,0.00203801,0.00155376,-0.000652682,6.86262e-05,8.23988e-05
12,5648.19,-0.000100353,0.00261961,0.00150335,-0.000567847,8.92871e-06,0.000300516
13,5648.29,0.000415415,0.00251365,0.00143008,-0.000562424,1.67436e-05,0.000239023
14,5648.39,0.000136529,0.00325324,0.00140779,-0.000754271,-1.35467e-05,0.000360691
15,5648.49,5.79219e-05,0.00301813,0.00141665,-0.000695103,-1.54244e-06,0.000266153
16,5648.59,0.000125807,0.00265782,0.00134093,-0.000724266,-2.98765e-05,0.000236589
17,5648.69,-0.000257423,0.00257996,0.00132129,-0.000786603,-2.89556e-05,0.000217087
18,5648.79,0.00027079,0.00275755,0.00128984,-0.000815193,-0.000101154,0.000245261
19,5648.89,0.000171279,0.00276836,0.00123501,-0.000880079,-4.21444e-05,0.000288507
20,5648.99,0.000245306,0.0027111,0.00119816,-0.000857244,-9.02079e-05,0.000384974
21,5649.09,-0.000175275,0.00270681,0.00109026,-0.00084875,-4.66141e-05,0.000299409
22,5649.19,2.43627e-06,0.00307604,0.00105682,-0.000837195,-6.27195e-05,0.000320836
23,5649.29,0.000422721,0.0028564,0.00096288,-0.000915273,-5.85894e-05,0.000253611
24,5649.4,0.000725469,0.00288892,0.00100701,-0.000986086,-2.4965e-05,0.000263497
25,5649.5,0.000239486,0.00299788,0.00107215,-0.00103238,-7.23835e-05,0.000191828
26,5649.6,0.000367124,0.00296361,0.00107645,-0.000966692,-0.000180078,0.000226216
27,5649.7,0.000496296,0.00293626,0.00113876,-0.00104875,-0.000127792,0.000285701
28,5649.8,0.00032416,0.00291328,0.00109636,-0.000992517,-8.65366e-05,0.000208293
29,5649.9,9.12219e-05,0.00290707,0.00112023,-0.000950548,-0.000132841,0.000264654
30,5650,-5.04777e-05,0.00278181,0.00112116,-0.000921539,-7.69337e-05,0.000260592
31,5650.1,-0.000154714,0.00241456,0.00115752,-0.00101761,-8.676e-05,0.000181927
32,5650.2,0.000262546,0.00280963,0.00113415,-0.00112871,-1.37606e-05,0.00025643
33,5650.3,-0.000450537,0.00264995,0.0011886,-0.00116589,3.54745e-05,0.000243992
34,5650.4,-0.000443529,0.00284596,0.00109929,-0.00115387,-0.000142006,0.000237439
35,5650.5,-0.000651291,0.00305487,0.00111208,-0.00110083,9.19125e-05,3.66754e-05
36,5650.61,-0.000792479,0.0031365,0.00162539,-0.00113592,-7.05186e-05,-1.17055e-05
37,5650.71,-0.000745724,0.00331751,0.00167964,-0.00118842,6.07818e-05,-2.17265e-05
38,5650.81,-0.000686824,0.00271497,0.00342144,-0.0011808,0.000216306,1.40051e-05
39,5650.91,-0.000659459,0.00346723,0.00170122,-0.00114041,0.000122353,2.65453e-05
40,5651.01,-0.00076938,0.00318372,0.00181306,-0.00117404,-2.60011e-05,0.000148134
41,5651.11,-0.000446142,0.00323414,0.00178927,-0.00126873,2.2412e-05,0.000107454
42,5651.21,-0.000279657,0.00334075,0.0017639,-0.00123078,4.20479e-05,6.45842e-05
43,5651.31,-0.000226557,0.00331807,0.00179242,-0.00125569,8.47774e-05,5.50709e-05
