index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
1,6237.01,0.000844111,0.000460845,2.47984e-05,7.79657e-14,4.56317e-13,-1.01751e-10
2,6237.11,0.000512431,-0.000732331,3.06358e-05,7.02739e-05,2.74752e-05,0.000296425
3,6237.21,0.000602402,-0.00133474,4.69558e-05,-0.00014328,-5.47534e-05,0.000146401
4,6237.31,0.00120645,-0.00176538,5.64913e-05,-0.000166249,-5.93978e-05,0.000215183
5,6237.41,0.00157441,-0.00152107,7.82784e-05,-0.000168197,-3.40389e-05,0.000124072
6,6237.52,0.00204359,-0.00174091,6.19138e-05,-0.000305219,-6.31998e-05,0.000131834
7,6237.62,0.00180045,-0.00143438,0.000114281,-0.000425514,-0.000188678,0.000183485
8,6237.72,0.00100191,-0.00139049,0.000121064,-0.000417214,-0.000195407,0.000173703
9,6237.82,0.000582163,-0.00104764,0.000107079,-0.000368759,-0.000232976,0.000143295
10,6237.92,0.000813351,-0.00112041,6.80258e-05,-0.000303076,-0.000232975,0.00019197
11,6238.02,0.000602615,-0.000962861,3.71282e-05,-0.000331975,-0.000336813,0.000130095
12,6238.12,-0.000639641,-0.00150082,7.83147e-05,-0.000375278,-0.000171122,0.000322037
13,6238.22,-0.00378219,-0.00397564,3.90937e-05,0.00264776,-0.00510986,0.000459041
14,6238.32,0.00472796,-0.00825936,0.00325806,0.000252369,-0.018716,0.00075164
15,6238.42,0.0289321,-0.0102497,0.00051424,0.00132919,-0.0217543,-0.00120973
16,6238.52,0.0678746,-0.0168107,0.000719908,0.013892,-0.0309452,0.00768892
17,6238.62,0.112596,-0.0200262,1.94232e-05,0.0121572,-0.0330102,0.000218827
18,6238.73,0.169597,-0.0340171,-0.00413147,0.0271831,0.00449399,-0.0110258
19,6238.83,0.221325,-0.0411981,-0.00502656,0.0285065,0.000509425,-0.00815331
20,6238.93,0.265746,-0.041609,-0.00352485,0.0254701,0.0011234,-0.00388709
21,6239.03,0.310677,-0.0393637,-0.00800086,0.0263422,0.0132833,-0.0143124
22,6239.13,0.334273,-0.0398719,-0.00472441,0.021626,0.00369141,-0.0125497
23,6239.23,0.357778,-0.0404142,-0.0015678,0.015557,0.00469089,-0.00907272
24,6239.33,0.371191,-0.0358667,-0.0018233,0.00667252,0.000846895,-0.0168159
25,6239.43,0.38086,-0.0350962,-0.00279591,0.00534619,-0.000197491,-0.0103726
26,6239.53,0.39401,-0.0384077,-0.000523557,0.00416644,-0.00367614,-0.0105602
27,6239.63,0.398404,-0.0379917,-2.4036e-05,0.00508689,-0.0083927,-0.0200342
28,6239.73,0.409362,-0.0397944,-0.00125082,0.005342,-0.00698386,-0.0176347
29,6239.84,0.432861,-0.0438951,-0.0015467,0.00997264,-0.0155522,-0.0137302
30,6239.94,0.454551,-0.0462915,-0.00117638,0.00921537,-0.0130077,-0.0200472
31,6240.04,0.492891,-0.0506658,-0.00271815,0.0162118,-0.00558162,-0.0190352
32,6240.14,0.535046,-0.0533842,-0.00361132,0.0178279,-0.00865124,-0.0118429
33,6240.24,0.5695,-0.0501073,-0.00450459,0.0159583,-0.0111554,-0.0238734
34,6240.34,0.608863,-0.0509539,-0.00611823,0.0226579,0.00412814,-0.0220947
35,6240.44,0.645545,-0.0600254,-0.00413442,0.0212334,-0.00951353,-0.0177653
36,6240.54,0.67248,-0.0589225,-1.9934e-05,0.0137705,-0.00447417,-0.0240192
37,6240.64,0.701327,-0.0587818,-0.00557701,0.0159784,0.0100847,-0.0282912
38,6240.74,0.719922,-0.0634545,-0.00356701,0.0119041,-0.00132751,-0.0280886
39,6240.84,0.737733,-0.0621178,-0.000479403,0.0146793,0.000799924,-0.0275555
40,6240.94,0.753891,-0.0623737,-0.00388068,0.00994288,0.00264255,-0.0350531
41,6241.05,0.761729,-0.0637269,-0.00530663,0.00992426,-0.00199687,-0.0288207
42,6241.15,0.774011,-0.0654485,-0.00173752,0.0148952,-0.00122817,-0.0330107
43,6241.25,0.784934,-0.0626779,-0.00276072,0.0110337,-0.00596152,-0.0402144
44,6241.35,0.794515,-0.0621252,-0.00518091,0.00987815,-0.00714697,-0.0371842
45,6241.45,0.82228,-0.0631892,-0.00316622,0.0102874,-0.00997785,-0.0360792
46,6241.55,0.849846,-0.0629952,-0.00308294,0.00542683,-0.00822125,-0.0437519
47,6241.65,0.878303,-0.0649535,-0.00570679,0.00918523,-0.00857648,-0.044791
48,6241.75,0.920455,-0.0638067,-0.00786307,0.00608163,-0.00369612,-0.0374075
49,6241.85,0.960691,-0.0617999,-0.00810676,0.00376271,-0.00961359,-0.0444337
50,6241.95,1.01271,-0.0640392,-0.00795429,0.0103692,0.00165313,-0.0460888
51,6242.05,1.06452,-0.0732572,-0.00871247,0.0146383,-0.00212708,-0.0367099
52,6242.15,1.10973,-0.0735742,-0.00797214,0.0144195,-0.00924804,-0.0384939
53,6242.26,1.16797,-0.0796352,-0.0130241,0.0210389,0.00947264,-0.0428538
54,6242.36,1.21636,-0.0907377,-0.0132614,0.021602,-0.00540959,-0.0359875
55,6242.46,1.27193,-0.0957544,-0.00730395,0.0242562,-0.00473128,-0.0410811
56,6242.56,1.32948,-0.0997669,-0.0144587,0.0276423,0.0148727,-0.0473798
57,6242.66,1.37438,-0.106279,-0.0145158,0.0239066,0.00217334,-0.0434527
58,6242.76,1.41878,-0.105093,-0.0111606,0.0162176,0.013112,-0.043194
59,6242.86,1.4584,-0.100601,-0.0139348,0.0135872,0.0110567,-0.0514568
60,6242.96,1.48041,-0.103243,-0.0140449,0.0149608,0.00604742,-0.0492683
61,6243.06,1.50498,-0.104013,-0.0086984,0.0152586,0.0118634,-0.0473688
62,6243.16,1.5243,-0.101208,-0.00912487,0.0121363,0.00455172,-0.0558822
63,6243.26,1.53516,-0.106513,-0.00988267,0.0193537,0.00903158,-0.0529274
64,6243.37,1.55328,-0.110883,-0.00575694,0.0201835,0.00232666,-0.050791
65,6243.47,1.55863,-0.111744,-0.00470606,0.0186879,0.000526971,-0.0598177
66,6243.57,1.56904,-0.111581,-0.00730892,0.0213027,0.006987,-0.061078
67,6243.67,1.572,-0.110779,-0.0117461,0.00875833,-0.00179045,-0.0568206
68,6243.77,1.57027,-0.106673,-0.0117848,0.0048089,-0.00116117,-0.0572561
69,6243.87,1.56713,-0.107099,-0.0114204,0.0025524,-0.00170228,-0.0579354
70,6243.97,1.56421,-0.108349,-0.0113363,0.00443438,-0.00259699,-0.0584063
71,6244.07,1.56217,-0.107736,-0.01102,0.00633389,-0.0026681,-0.0550788
