index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
1,5233.55,-0.000120138,3.61079e-05,0.000345658,-6.58952e-12,7.86125e-12,2.90625e-09
2,5233.65,0.000783497,0.0010305,0.000303727,-2.81712e-05,3.12934e-05,-1.20776e-05
3,5233.75,-0.000923624,0.000327433,0.00027354,6.40139e-05,0.000207203,-0.000190371
4,5233.85,-0.0015209,-0.00108495,0.00013898,2.91561e-05,0.00024234,4.76815e-05
5,5233.95,-0.00107619,-0.000940279,-9.50506e-05,1.67821e-05,0.000140849,-0.000188499
6,5234.05,-0.000524474,-0.000290722,-0.000108762,-9.94996e-06,0.000225049,-0.000240361
7,5234.15,-0.00069455,-0.000547114,-0.000140865,0.000119179,0.000218151,-0.00019086
8,5234.25,-0.000157577,-7.59546e-05,-5.94104e-05,0.000220608,0.000359131,-0.000221909
9,5234.35,-9.08614e-05,-0.000411965,-7.61373e-05,0.000191073,0.000299306,-0.000147479
10,5234.45,8.12344e-05,-0.00142495,-0.000162187,0.000175424,0.000250178,-0.000104872
11,5234.56,0.000224248,-0.00125731,-0.000242727,0.00011705,0.000253197,-0.000129118
12,5234.66,0.000492744,-0.000658171,-0.000323921,0.00011576,0.00033048,-0.000153939
13,5234.76,0.000632205,-0.000245057,-0.000201145,8.03516e-05,0.000322297,-0.000121138
14,5234.86,0.000618685,-0.000706918,-0.000188409,0.000131638,0.00031991,-0.000120905
15,5234.96,0.000221631,-0.000131685,-0.000152921,0.000221089,0.000414515,-0.000127074
16,5235.06,0.000289441,-0.00115417,-0.000170898,0.000127334,0.00040658,-5.04722e-05
17,5235.16,-2.85363e-05,-0.00124509,-0.000219703,1.3739e-05,0.000351019,-9.34324e-05
18,5235.26,-0.000339399,-0.00150137,-0.000159548,0.000151852,0.000446402,-1.48006e-05
19,5235.36,-0.000893167,-0.000619803,-0.000141179,0.000345989,0.000457664,-9.12151e-05
20,5235.46,-0.00103106,-0.00136854,-9.39866e-05,0.000272695,0.000395078,6.07737e-06
21,5235.56,-0.000753849,-0.00109916,-4.06695e-05,0.000328363,0.000433921,2.78938e-05
22,5235.66,-0.000817516,-0.000422913,8.73273e-05,0.000307196,0.000466205,-7.79117e-05
23,5235.77,-0.000161753,-0.000796463,0.00016189,8.57367e-05,0.00052584,-0.000216046
24,5235.87,4.45535e-05,-0.000419197,2.7672e-05,-2.0856e-05,0.000337602,-0.0001526
25,5235.97,-3.42264e-05,-0.00114081,-1.21845e-05,0.000126396,0.000389737,2.99477e-05
26,5236.07,-0.000491523,-0.000633921,-6.8591e-05,0.000266391,0.000379475,-7.38242e-05
27,5236.17,-0.000341557,3.90042e-06,0.00010887,0.000274967,0.000616634,-8.98538e-05
28,5236.27,-0.000221251,-0.000193037,1.81873e-05,0.000280315,0.000466347,-0.000158724
29,5236.37,-0.000410464,-0.000675101,7.32018e-05,0.000280678,0.000526724,-5.69732e-05
30,5236.47,-0.000695384,-0.000597506,-4.98428e-06,0.000328759,0.000514288,-0.000125467
31,5236.57,-0.000713084,-0.000626373,2.97725e-05,0.000311289,0.000499651,-0.000214982
32,5236.68,-0.000646479,-0.000140808,4.02942e-05,0.000270746,0.000610494,-0.000207614
33,5236.77,-0.000279311,0.000112263,5.79676e-05,0.000387241,0.000636422,-0.000178295
34,5236.87,9.06392e-05,-0.000169489,-4.60842e-05,0.000378944,0.000544789,-0.000203255
35,5236.98,-5.06116e-06,-0.000187593,4.47973e-05,0.000509339,0.000621747,-6.90976e-05
36,5237.08,-0.000122097,-0.000283326,2.18545e-05,0.000337093,0.000569429,-3.28449e-05
37,5237.18,-0.00100273,-0.000334741,-6.7286e-05,0.000260777,0.000366069,0.000182609
38,5237.28,-0.000817886,-0.000335421,-6.10739e-05,0.000186769,0.00058211,0.000115532
39,5237.38,-0.000757879,-0.000484043,-2.30011e-05,0.000272479,0.000720662,-7.97571e-05
40,5237.48,-0.00061231,-0.000617088,1.09213e-05,0.000407813,0.000562767,-0.000115181
41,5237.58,0.000195909,-0.000884025,6.15484e-05,0.000286277,0.000663401,-0.000160892
42,5237.68,-0.000607176,-0.00125019,0.000118323,0.000217127,0.000586715,-0.000101584
43,5237.78,-0.000864587,-0.00190684,0.000115332,0.000133473,0.000532163,-0.000243326
44,5237.88,-3.74713e-05,-0.001057,0.000142165,0.000282232,0.000311604,-7.9953e-05
45,5237.98,-7.92037e-05,-0.00110692,0.00014652,0.000251933,0.000468843,-0.000121025
46,5238.09,-9.27166e-05,-0.00074472,3.28378e-05,0.000119297,0.000709031,-0.000104529
47,5238.19,-0.000178521,-0.000837375,6.92824e-05,0.000211548,0.000586321,-0.000181276
48,5238.29,-9.54355e-05,-0.000693691,-1.32426e-05,0.000280809,0.000594646,1.33141e-05
49,5238.39,-6.22149e-05,-0.000660481,-3.42859e-05,0.000473774,0.000634319,-8.57436e-05
50,5238.49,0.000213435,-0.000959694,-3.73538e-05,0.000403319,0.000545896,-0.000275381
51,5238.59,0.000376361,-0.000766481,-0.000105957,0.000487128,0.000588353,-0.000303797
52,5238.69,0.000386242,-0.000576941,1.72061e-05,0.000255721,0.000635715,9.27085e-05
53,5238.79,-2.67602e-06,-0.00115369,-4.74044e-05,0.000146351,0.000749885,-0.00015762
54,5238.89,0.000562365,0.000122534,-8.07813e-05,0.000350138,0.000579628,5.6456e-05
55,5238.99,0.000460479,0.000188694,-5.68575e-05,0.000493851,0.000570162,5.4438e-05
56,5239.09,-0.000443563,0.000153491,-3.4444e-05,0.000380725,0.000535108,9.49759e-05
57,5239.19,-0.000197829,-0.000107778,-6.18985e-05,0.000465055,0.000667829,-0.000109114
58,5239.3,-0.000383319,5.19392e-05,-0.000191187,0.000474196,0.00065174,8.40292e-05
59,5239.4,-0.000564711,0.000144499,-0.000153938,0.00029729,0.000642978,0.000158415
60,5239.5,-0.000463837,-0.000294536,-0.000177911,0.000183571,0.000755634,8.93476e-05
61,5239.6,-9.86614e-06,-0.00104151,-0.000130598,0.000375832,0.000615235,-0.000177227
