T_HIP,T_THIGH,T_CALF,Environment
0.0015579983577003716,0.005444055337403862,0.0011513388747795977,Parking
4.988091111810146e-05,0.00012289625540850318,2.0759509140483682e-05,Parking
8.087927853193824e-06,5.7117294092596523e-05,1.3876188526992334e-05,Parking
2.1890892528569307e-05,6.950145268107012e-05,1.437737091090601e-05,Parking
1.3050349688316774e-05,6.259918565468126e-05,1.465047834151185e-05,Parking
6.5274903712334445e-06,7.765757358167552e-05,1.9040280877761354e-05,Parking
3.3809212054542784e-06,1.7600552606668396e-05,4.120608332884217e-06,Parking
8.649520024263227e-06,7.366188775164758e-05,1.8012505152879595e-05,Parking
4.253486229260567e-06,3.103484147437914e-05,7.61319370059017e-06,Parking
7.954558524731634e-06,5.124162417602541e-05,1.2455817681267371e-05,Parking
2.85700923746563e-06,2.1942331028972206e-05,5.3782840980076525e-06,Parking
5.429057777478308e-06,3.591137515294288e-05,8.743730249403123e-06,Parking
3.3375245244120445e-06,3.5231873243129576e-05,8.607143329544204e-06,Parking
6.885319193781919e-06,5.2319267719233906e-05,1.282697099509504e-05,Parking
9.655966343362848e-06,9.990756515833684e-05,2.4531993334313824e-05,Parking
3.1670558708415636e-06,2.4917179575439173e-05,6.082510030988427e-06,Parking
1.3620140396235734e-05,0.0001476718912472938,3.6266619954706415e-05,Parking
5.719516019329314e-06,3.8288421420942376e-05,9.331447544544541e-06,Parking
9.750076652857584e-06,0.00011011502579562606,2.6997353140546464e-05,Parking
5.2373646354353205e-06,5.279586289139443e-05,1.2964599113255088e-05,Parking
8.556843251970237e-06,3.9446061587527804e-05,9.136612270553803e-06,Parking
9.598258855456078e-06,0.0001122060407226032,2.755714211804759e-05,Parking
1.2776291617831678e-05,7.846683155392574e-05,1.8763586347449482e-05,Parking
1.0366394053585349e-05,0.00012350493623534134,3.031822307931247e-05,Parking
1.2078027454402752e-05,6.391439275744997e-05,1.519820693877017e-05,Parking
5.359894355999653e-06,6.163553961741195e-05,1.5137201271390443e-05,Parking
