jmag,angular_vel_mag,Environment
678.3534381,0.153977551,Corridor
32.88367956,0.016266443,Corridor
8.41390299,0.005009756,Corridor
2.369400533,0.001954934,Corridor
1.020651483,0.000682668,Corridor
1.874388143,0.001401073,Corridor
2.066063488,0.001720937,Corridor
1.559789454,0.000202012,Corridor
1.619209021,0.000865993,Corridor
1.796268288,0.00181737,Corridor
0.780298719,0.000957691,Corridor
0.631088181,0.001326383,Corridor
0.084935951,0.001464611,Corridor
1.157409887,0.000815105,Corridor
1.14299334,0.000992443,Corridor
0.64993852,0.000813073,Corridor
0.499033605,0.000627507,Corridor
0.698723255,0.000653365,Corridor
0.245721108,0.000871908,Corridor
0.460791816,0.000289702,Corridor
0.820627266,0.000521581,Corridor
0.434745649,0.000466449,Corridor
1.113700938,0.000935906,Corridor
0.830432431,0.000839042,Corridor
0.616172404,0.001185424,Corridor
0.886134211,0.000732535,Corridor
0.125968755,0.000944544,Corridor
0.305851045,0.000787021,Corridor
0.217426623,0.000572561,Corridor
0.865647062,0.000693495,Corridor
1.071793251,0.001282572,Corridor
0.472586338,0.001547337,Corridor
0.926121244,0.001473654,Corridor
0.663817055,0.001388065,Corridor
0.351004432,0.001553399,Corridor
1.263289943,0.001215127,Corridor
2.670592844,0.002351061,Corridor
0.234278036,0.000531012,Corridor
2.874328273,0.001959482,Corridor
1.930222897,0.001125222,Corridor
0.582450516,0.000682813,Corridor
0.808683197,0.001011562,Corridor
0.856118817,0.002244179,Corridor
0.53836465,0.002017583,Corridor
0.898078106,0.0026409,Corridor
0.8014336,0.00111884,Corridor
0.169795326,0.001441129,Corridor
1.058019223,0.001177732,Corridor
1.395924281,0.001406972,Corridor
0.591643137,0.002052261,Corridor
1.539667812,0.001040318,Corridor
1.26696422,0.001423604,Corridor
0.669609295,0.002004333,Corridor
5.531600457,0.007266301,Corridor
8.795091529,0.029229607,Corridor
14.12904119,0.042770747,Corridor
16.02520761,0.077750175,Corridor
1.894184878,0.208130339,Corridor
20.97856378,0.090386308,Corridor
19.72912014,0.220400583,Corridor
33.19541315,0.227586019,Corridor
7.788712932,0.10639285,Corridor
25.82201187,0.056231044,Corridor
12.81546836,0.174934066,Corridor
7.218185638,0.021746367,Corridor
13.44650239,0.130415472,Corridor
5.298338322,0.093439667,Corridor
1.301241097,0.080021942,Corridor
15.17625564,0.115474899,Corridor
7.087922993,0.039108346,Corridor
11.59164403,0.032864362,Corridor
13.24196018,0.063709353,Corridor
8.445012974,0.086743985,Corridor
13.81388116,0.037348706,Corridor
13.61617705,0.058358264,Corridor
20.56458458,0.06969981,Corridor
14.19255842,0.060895089,Corridor
13.13503352,0.095591065,Corridor
8.366977375,0.050986511,Corridor
14.45577859,0.078064904,Corridor
9.254737727,0.032357281,Corridor
14.49015336,0.058441807,Corridor
14.54239608,0.064273648,Corridor
14.04167177,0.054219326,Corridor
10.54606839,0.046023848,Corridor
10.68805508,0.115187782,Corridor
13.8254175,0.025482406,Corridor
15.69489042,0.128360919,Corridor
11.47190411,0.095532574,Corridor
13.20778991,0.067266034,Corridor
23.73415107,0.138582906,Corridor
10.97384367,0.070429233,Corridor
22.63399355,0.163063117,Corridor
14.6780915,0.099553635,Corridor
23.3098795,0.248218725,Corridor
27.62542266,0.269376295,Corridor
8.028403644,0.114643297,Corridor
26.39592749,0.269043259,Corridor
14.03901814,0.155842385,Corridor
18.59419406,0.169583609,Corridor
17.29164068,0.09966459,Corridor
15.44049664,0.0605853,Corridor
16.04073931,0.067045211,Corridor
7.007706493,0.095042564,Corridor
14.18609015,0.14662965,Corridor
7.712723461,0.114437914,Corridor
13.7928924,0.08854659,Corridor
7.116131633,0.148768213,Corridor
24.72967635,0.125624811,Corridor
12.34412955,0.19241323,Corridor
28.33582686,0.189913509,Corridor
14.67815755,0.102606514,Corridor
8.470306407,0.259819099,Corridor
15.34712764,0.186318131,Corridor
20.7335167,0.127828132,Corridor
8.007437814,0.15011867,Corridor
13.36108258,0.114848358,Corridor
12.64541506,0.12286393,Corridor
17.34690798,0.152271896,Corridor
10.12019561,0.08400702,Corridor
14.82463227,0.070016682,Corridor
10.09361889,0.093264381,Corridor
21.29113494,0.190459252,Corridor
15.48847289,0.098116242,Corridor
14.45048681,0.114240684,Corridor
6.825674101,0.073238694,Corridor
26.1113906,0.128887727,Corridor
12.23353598,0.061771177,Corridor
3.295920196,0.097474439,Corridor
22.98874744,0.098652332,Corridor
17.53180359,0.061818106,Corridor
9.405018984,0.138987406,Corridor
2.303236601,0.299763883,Corridor
26.94882224,0.232647199,Corridor
7.031807079,0.220861076,Corridor
13.05122695,0.185003188,Corridor
12.88650318,0.053776614,Corridor
10.78225975,0.121071226,Corridor
13.36198853,0.067894216,Corridor
18.59961019,0.102378585,Corridor
15.16597651,0.18646092,Corridor
8.098901602,0.152706636,Corridor
11.11478877,0.124751047,Corridor
10.89455688,0.113469738,Corridor
10.27860632,0.169913223,Corridor
10.68882271,0.100422793,Corridor
16.9448106,0.155884963,Corridor
17.18870569,0.133354256,Corridor
10.18860246,0.081991368,Corridor
16.84475428,0.139309402,Corridor
12.541396,0.199902713,Corridor
10.74763257,0.099637439,Corridor
11.0416795,0.168012645,Corridor
14.28600218,0.214641531,Corridor
13.8997012,0.20021593,Corridor
14.56488694,0.24781658,Corridor
21.03692535,0.198486319,Corridor
16.84030238,0.198348727,Corridor
10.77319646,0.153557281,Corridor
19.70612276,0.123025267,Corridor
15.96701097,0.105369523,Corridor
25.25728201,0.112399485,Corridor
7.493714548,0.169845347,Corridor
30.60987617,0.07224821,Corridor
11.80211678,0.245870475,Corridor
16.79418222,0.038284564,Corridor
22.30390341,0.207214577,Corridor
14.36904192,0.235364965,Corridor
19.37445712,0.122355884,Corridor
10.62591502,0.315312786,Corridor
11.39908257,0.298469019,Corridor
11.4970444,0.034096991,Corridor
5.555756532,0.113287494,Corridor
18.28860897,0.198666629,Corridor
10.66793396,0.087641046,Corridor
10.89540142,0.075543398,Corridor
26.93288713,0.19197518,Corridor
33.53418383,0.290192176,Corridor
18.7051596,0.083280229,Corridor
28.68860302,0.189555594,Corridor
14.97467782,0.022986227,Corridor
5.482210142,0.187141932,Corridor
16.17856225,0.046895346,Corridor
11.19992738,0.137455519,Corridor
23.46050786,0.14548637,Corridor
4.557565202,0.079771314,Corridor
28.7587406,0.091315003,Corridor
12.72362835,0.212449368,Corridor
11.9603051,0.193375761,Corridor
15.28548751,0.221916022,Corridor
13.0641974,0.15204914,Corridor
17.48306037,0.130237563,Corridor
17.91026375,0.128057385,Corridor
12.11030753,0.115352294,Corridor
16.98390919,0.164982801,Corridor
9.209307717,0.12769399,Corridor
37.97402917,0.167557621,Corridor
23.38319196,0.126117387,Corridor
11.01983216,0.245615876,Corridor
32.23003512,0.170293212,Corridor
15.67223924,0.189401639,Corridor
10.69113007,0.227524164,Corridor
18.49107509,0.109888771,Corridor
30.16416915,0.133015474,Corridor
5.863072641,0.415709842,Corridor
26.92268583,0.805522661,Corridor
24.18257248,0.492564837,Corridor
5.446952489,0.08051159,Corridor
19.99476334,0.046734596,Corridor
23.90176203,0.1667565,Corridor
26.91549065,0.229658022,Corridor
36.02674389,0.16994592,Corridor
18.10189988,0.24825423,Corridor
22.82570213,0.219937959,Corridor
14.1884269,0.272212748,Corridor
15.11418671,0.199962921,Corridor
12.56619183,0.056956828,Corridor
