index,time,trans_x,trans_y,trans_z,roll,pitch,yaw
1,5822.73,-2.66524e-05,-3.03544e-05,-8.30832e-05,4.94352e-15,-2.92726e-14,-3.91542e-11
2,5822.83,-0.00207124,-0.000612373,2.19686e-05,-0.000345297,0.000321497,1.55081e-05
3,5822.93,-0.00206674,-0.000181538,-9.4759e-05,-0.000409856,6.41838e-05,0.000111786
4,5823.03,-0.00193693,0.000277563,-2.03001e-05,-0.000425159,0.000531692,0.000107678
5,5823.13,-0.000645839,-0.000485995,-0.000141312,-0.000439494,6.62595e-05,8.7454e-05
6,5823.24,-0.000456664,0.000428335,-0.000117578,-0.00047419,0.000528337,0.000260963
7,5823.34,0.000207001,0.000348263,-0.000139277,-0.000515993,0.000443622,0.000250185
8,5823.44,0.000446618,0.000169156,-0.000195433,-0.000596358,0.000535239,0.000312024
9,5823.54,-0.000478744,-0.000436381,-0.000155496,-0.000738056,0.000381835,-2.3375e-06
10,5823.64,-0.000432719,-0.000329072,-6.82298e-05,-0.000624264,0.00039998,4.91986e-05
11,5823.74,2.67567e-06,0.000504326,-3.47661e-05,-0.000481938,0.000391151,0.000173743
12,5823.84,0.000910553,0.00113836,-2.59365e-05,-0.000655042,0.000552274,0.000141019
13,5823.94,-0.000481834,0.00125029,-8.74882e-05,-0.000585362,0.000427925,1.73344e-05
14,5824.04,0.000745838,-2.1589e-05,-0.000157847,-0.00052248,0.000662851,0.000184787
15,5824.14,-0.000579313,-0.000180856,-0.000210099,-0.000657252,0.00038859,0.000349488
16,5824.24,0.000491439,0.000110651,-0.000116256,-0.000898294,0.000574646,0.000454501
17,5824.35,-0.000306443,0.000978557,-0.000188079,-0.00057946,0.000474305,0.00030959
18,5824.45,0.000473015,0.000196651,-0.000165251,-0.000771862,0.000828055,0.000104229
19,5824.55,-0.000314996,0.000335668,-0.000209552,-0.000896933,0.000336083,2.25765e-05
20,5824.65,0.000357937,-2.53888e-05,-0.000265214,-0.000407451,0.000544789,0.000132484
21,5824.75,9.45819e-05,0.000359147,-0.00019209,-0.000580539,0.0006515,0.000214374
22,5824.85,0.000238061,-1.92607e-05,-0.000182433,-0.00060561,0.00063894,0.00023087
23,5824.95,0.000112739,-0.000255922,-0.000201173,-0.000504671,0.000542721,0.00022117
24,5825.05,0.000187228,0.000647771,-0.000248863,-0.000547886,0.000379815,0.000114535
25,5825.15,-0.000105088,0.000479995,-0.000147214,-0.000949899,0.000612803,0.000220221
26,5825.25,0.000499699,6.60516e-05,-6.64992e-05,-0.000750073,0.00091223,5.12128e-05
27,5825.35,0.000566278,0.000262664,-4.84143e-05,-0.00083648,0.000743948,-6.0583e-05
28,5825.46,0.0011207,6.46405e-05,-4.23331e-06,-0.000634321,0.000617296,0.000148506
29,5825.56,0.000283434,0.000644452,-5.47624e-05,-0.000887346,0.000296981,0.000193849
30,5825.66,0.00126476,0.000898309,-3.73805e-05,-0.000618832,0.000684315,7.60601e-05
31,5825.76,0.00114126,0.00027133,-1.88838e-05,-0.000848969,0.000548116,0.000387547
32,5825.86,0.00154276,0.000939655,4.5489e-05,-0.000651828,0.000804853,0.000152557
33,5825.96,0.00142694,0.000847983,9.25348e-05,-0.000917667,0.00076104,0.000166096
34,5826.06,0.00154346,0.000549896,5.96274e-05,-0.000990718,0.000694386,0.000124746
35,5826.16,0.00182872,-1.8336e-05,9.57887e-05,-0.000568558,0.000863232,4.66561e-05
36,5826.26,0.00189638,0.000156268,0.000181374,-0.000736848,0.000781132,0.000232353
37,5826.36,0.00177631,0.000401187,0.000157157,-0.000701981,0.00069207,4.6576e-05
38,5826.46,0.00143675,0.000977175,0.000186222,-0.000711761,0.000861208,0.00012847
39,5826.56,0.00155731,0.00089186,0.000215003,-0.00094307,0.000641547,9.17989e-05
40,5826.67,0.00135379,0.000442364,0.000118389,-0.0009727,0.000568714,0.000147946
41,5826.77,0.00158119,-1.94085e-05,0.000159093,-0.000976703,0.000883979,0.000288417
42,5826.87,0.00174363,0.000316169,0.00016299,-0.000633716,0.00063486,0.000239525
43,5826.97,0.00184793,0.000384317,0.00016879,-0.000940841,0.000660325,0.000211771
44,5827.07,0.00153126,0.000167868,0.000108503,-0.000986792,0.000638788,0.00020224
45,5827.17,0.00133348,-2.03443e-05,0.000149018,-0.000929549,0.000753158,0.000282121
46,5827.27,0.00121921,-0.000115224,0.000128577,-0.000953124,0.000528627,0.000286958
47,5827.37,0.000981038,0.000383371,6.66632e-05,-0.00100939,0.000510601,0.000238091
48,5827.47,0.000744222,0.000328654,4.39981e-05,-0.000859132,0.000690271,9.4635e-05
49,5827.57,0.000563579,-0.000264038,7.88364e-05,-0.000856972,0.000679876,0.000228841
50,5827.67,0.000862421,-0.000192248,8.93865e-05,-0.00096418,0.000797528,0.000203681
51,5827.77,0.000740909,0.000127809,8.66429e-05,-0.000950409,0.000652751,-9.1237e-06
52,5827.88,0.00168744,0.000573666,0.000105674,-0.00113037,0.000939255,-8.26331e-06
53,5827.98,-0.037663,-0.0246254,0.000984899,-0.00748261,0.00686161,0.000659835
54,5828.08,0.00898574,0.00157451,-0.00369475,-0.0062522,-0.00984967,0.00374886
55,5828.18,0.0280657,-0.000432688,-0.00271401,-0.00344675,-0.0257602,0.00185885
56,5828.28,0.0770801,0.0026592,0.0016808,0.00998623,-0.0315851,0.00725163
57,5828.38,0.0775085,-0.0353532,-2.99799e-05,0.00613484,-0.0207021,0.0119341
58,5828.48,0.138226,-0.0462937,-0.00155736,0.0141114,-0.0148347,-0.00217655
59,5828.58,0.230959,-0.0377752,-0.00634322,0.0180357,-0.0267689,0.0040405
60,5828.68,0.363493,-0.0322886,-0.00345484,0.0116498,-0.0129087,0.0032215
61,5828.78,0.480371,-0.0439594,-0.00712274,0.0108024,-0.00526863,-0.00414854
62,5828.88,0.578569,-0.0690498,-0.0131442,0.0195609,-0.0332456,0.00879741
63,5828.98,0.69277,-0.0693136,-0.0125588,0.00472474,-0.0252187,0.00467964
64,5829.09,0.854977,-0.0516177,-0.0165979,0.0317993,0.0219619,0.00578227
65,5829.19,0.991474,-0.0587702,-0.0166225,0.00550634,-0.0202825,0.0084203
66,5829.29,1.15189,-0.05554,-0.0203515,0.0173667,-0.0163393,0.0136726
67,5829.39,1.25776,-0.0565091,-0.0155397,0.0248836,0.013676,0.0226065
68,5829.49,1.42819,-0.0483782,-0.0199481,0.000392221,0.00563971,0.0283196
69,5829.59,1.57579,-0.0467987,-0.0210483,0.0303724,-0.00801623,0.0378657
70,5829.69,1.75087,-0.0484664,-0.0283181,0.0442679,-0.00423274,0.0412512
71,5829.79,1.89287,-0.0487441,-0.0344965,0.0135779,-0.00698644,0.0386484
72,5829.89,2.06186,-0.0271753,-0.0356124,0.0233016,0.00396453,0.0387787
73,5829.99,2.20974,-0.0257587,-0.0375825,0.0226572,-0.0100907,0.0421853
74,5830.09,2.39592,-0.0202084,-0.0382653,0.00584571,0.00851543,0.0404985
75,5830.19,2.57755,-0.0113449,-0.051542,0.0278217,0.0266129,0.0448046
76,5830.3,2.76373,-0.00096217,-0.0518572,0.0134539,0.00116459,0.0444069
