jmag,angular_v_mag,Environment
4.096930186,0.001338061,Corridor
3.937118346,0.001510964,Corridor
1.854584444,0.002013874,Corridor
1.342574767,0.001341298,Corridor
1.589919996,0.001026328,Corridor
2.606965371,0.000153822,Corridor
2.44530508,0.001699757,Corridor
1.401520377,0.001156123,Corridor
0.970514494,0.002415282,Corridor
1.657324406,0.000622244,Corridor
1.894435152,0.002291852,Corridor
2.07451073,0.001121712,Corridor
0.859032416,0.000502726,Corridor
0.736951995,0.000653229,Corridor
1.364515529,0.000826061,Corridor
1.596072396,0.000977883,Corridor
0.808378071,0.0011017,Corridor
0.684832899,0.000964051,Corridor
1.148197049,0.000291894,Corridor
1.034864525,0.001031137,Corridor
0.936184199,0.000790115,Corridor
0.703620857,0.00097612,Corridor
1.421810628,0.0013075,Corridor
0.641342998,0.00114043,Corridor
0.343798746,0.001041929,Corridor
0.29534896,0.00084155,Corridor
0.222535032,0.000631161,Corridor
0.146332063,0.001245567,Corridor
1.118919991,0.001523904,Corridor
2.117112765,0.000629377,Corridor
2.074151556,0.001780077,Corridor
1.025630154,0.003127893,Corridor
0.507487315,0.001730777,Corridor
0.993427887,0.00141762,Corridor
2.327746725,0.001597579,Corridor
5.576066701,0.001030329,Corridor
5.809758278,0.001947402,Corridor
2.464404497,0.001138635,Corridor
0.665661384,0.000605276,Corridor
0.198394896,0.000503669,Corridor
0.511273552,0.003810819,Corridor
1.182614756,0.001453685,Corridor
0.954629689,0.001869039,Corridor
0.47758313,0.001003709,Corridor
0.650980025,0.002031726,Corridor
0.742266992,0.001980189,Corridor
0.52024945,0.001585365,Corridor
1.746124785,0.001365365,Corridor
1.734995031,0.001750571,Corridor
0.378362061,0.001892347,Corridor
1.416136242,0.000796591,Corridor
1.929539942,0.002554095,Corridor
4.345969458,0.021817404,Corridor
15.3970031,0.081947716,Corridor
5.558645977,0.141577534,Corridor
20.45254975,0.162676529,Corridor
22.46057007,0.233372021,Corridor
4.220982211,0.172448041,Corridor
28.26953064,0.210552467,Corridor
38.50945895,0.116029528,Corridor
33.47392493,0.100215265,Corridor
17.83743413,0.158532806,Corridor
12.8464297,0.144071328,Corridor
6.69166848,0.049682253,Corridor
6.891255941,0.049956047,Corridor
10.80455287,0.145212907,Corridor
13.63884162,0.029610753,Corridor
4.588910704,0.061811803,Corridor
11.29388289,0.048986569,Corridor
2.699209471,0.082931576,Corridor
14.6635352,0.097355069,Corridor
16.53627508,0.064898582,Corridor
19.036686,0.036201041,Corridor
16.99506652,0.104304729,Corridor
15.07668603,0.079353942,Corridor
18.40705876,0.075936144,Corridor
10.40761326,0.082320989,Corridor
6.709857397,0.049919247,Corridor
12.98277779,0.066783887,Corridor
22.91975395,0.074214248,Corridor
9.075333685,0.061158621,Corridor
4.371540437,0.080147366,Corridor
18.86430887,0.048047533,Corridor
13.36493685,0.128269492,Corridor
8.092784308,0.122884917,Corridor
14.4911818,0.05607547,Corridor
18.41865013,0.117354098,Corridor
12.16321676,0.116891166,Corridor
13.07702857,0.120265014,Corridor
21.90181137,0.1095761,Corridor
21.71610079,0.167102283,Corridor
21.22659554,0.233492096,Corridor
27.67070704,0.166854945,Corridor
13.87573991,0.257362015,Corridor
23.06273634,0.341700044,Corridor
20.99196962,0.220858256,Corridor
16.67001934,0.066132586,Corridor
27.05421188,0.120604571,Corridor
21.97272791,0.176710597,Corridor
9.29062898,0.087760166,Corridor
14.3195062,0.079665038,Corridor
13.930418,0.111665846,Corridor
11.86518028,0.147981572,Corridor
17.52358178,0.075587574,Corridor
10.12320068,0.103587274,Corridor
12.07010599,0.191553814,Corridor
11.41956696,0.249866568,Corridor
43.22557338,0.147986924,Corridor
25.33394068,0.120928925,Corridor
18.91143593,0.24887258,Corridor
28.70989325,0.104451585,Corridor
27.84024525,0.259144331,Corridor
13.77311437,0.125284583,Corridor
10.3517873,0.1608693,Corridor
16.88327958,0.05842335,Corridor
13.03929615,0.193479162,Corridor
19.53782841,0.080740815,Corridor
9.442460782,0.107933961,Corridor
7.126519448,0.065118741,Corridor
14.83257397,0.186118297,Corridor
21.61535961,0.148671384,Corridor
8.621855982,0.09349937,Corridor
15.78533103,0.159983135,Corridor
21.62848762,0.121263096,Corridor
19.74686984,0.063828687,Corridor
15.16420758,0.086737426,Corridor
13.66962686,0.116933592,Corridor
17.25830603,0.068608284,Corridor
8.979717884,0.093587159,Corridor
27.0533862,0.08698625,Corridor
19.88026511,0.452838544,Corridor
27.66448186,0.254583031,Corridor
14.54635251,0.122084376,Corridor
10.83404389,0.174869977,Corridor
7.663870169,0.148465408,Corridor
22.36055364,0.110059196,Corridor
13.82754544,0.071881632,Corridor
9.785410008,0.148020571,Corridor
18.61458811,0.208378177,Corridor
11.64493719,0.140993985,Corridor
6.684476834,0.104149486,Corridor
8.124098777,0.205241768,Corridor
19.02031452,0.121895888,Corridor
16.57691255,0.077093804,Corridor
25.47569176,0.215979074,Corridor
11.04311758,0.126069212,Corridor
20.14146186,0.072541121,Corridor
14.16519779,0.237272845,Corridor
24.18610478,0.087204296,Corridor
8.428045058,0.157416361,Corridor
11.34933777,0.097093604,Corridor
17.00578897,0.225440089,Corridor
20.36742024,0.354260518,Corridor
23.39885848,0.352438597,Corridor
15.25470042,0.147243256,Corridor
21.4261841,0.056737107,Corridor
37.84429625,0.174686638,Corridor
31.38813892,0.110066381,Corridor
18.68137498,0.161144893,Corridor
13.85786495,0.114601364,Corridor
25.33686556,0.130533878,Corridor
20.37069659,0.23052595,Corridor
16.18334443,0.17888584,Corridor
11.41794396,0.152097196,Corridor
27.47986259,0.279391659,Corridor
30.97136387,0.071655078,Corridor
21.05465813,0.181580024,Corridor
8.196995425,0.485497527,Corridor
8.542704176,0.058465834,Corridor
12.25100229,0.047121086,Corridor
8.786270201,0.183391281,Corridor
14.25932046,0.150436516,Corridor
14.13725912,0.082788878,Corridor
22.77644939,0.104285919,Corridor
10.84147197,0.382690182,Corridor
31.52654948,0.089974353,Corridor
39.82342792,0.078045222,Corridor
20.69967624,0.185738188,Corridor
8.870982604,0.162322138,Corridor
20.22111183,0.134621249,Corridor
19.68196998,0.132598378,Corridor
7.121022245,0.172636816,Corridor
10.89474902,0.092575733,Corridor
25.93562575,0.094083006,Corridor
32.65515206,0.167392574,Corridor
6.885102678,0.323610519,Corridor
17.38425062,0.169014095,Corridor
19.07773908,0.075497867,Corridor
26.38196213,0.22381738,Corridor
22.78793876,0.121454584,Corridor
6.177512399,0.080647864,Corridor
18.23707238,0.177023623,Corridor
10.31173387,0.10904579,Corridor
17.16425601,0.167404744,Corridor
17.16495082,0.080470327,Corridor
34.06919198,0.155521507,Corridor
34.49110614,0.327950876,Corridor
25.71814789,0.346448999,Corridor
11.06583808,0.168593204,Corridor
21.15922645,0.106834512,Corridor
21.38105713,0.184709799,Corridor
9.822497556,0.078355909,Corridor
29.40198403,0.735916798,Corridor
27.28496381,0.717888939,Corridor
20.82281658,0.293110809,Corridor
17.39645169,0.103371489,Corridor
16.33176257,0.103431834,Corridor
6.27741283,0.239250174,Corridor
31.10988342,0.21782033,Corridor
31.87186314,0.089147796,Corridor
16.64022482,0.352449684,Corridor
25.00229512,0.218522045,Corridor
30.6329161,0.256334879,Corridor
26.70509846,0.125420318,Corridor
16.81518332,0.165005462,Corridor
5.766682741,0.109916714,Corridor
9.554102914,0.152055596,Corridor
29.76106813,0.18511236,Corridor
7.698339525,0.086748242,Corridor
23.19826044,0.138639323,Corridor
35.4340181,0.186478949,Corridor
7.974802503,0.260094993,Corridor
11.10561876,0.069428002,Corridor
19.28098342,0.073863355,Corridor
24.99316226,0.21326111,Corridor
21.28209823,0.14263484,Corridor
27.11234266,0.120946619,Corridor
20.30043173,0.152365787,Corridor
13.64075222,0.085122785,Corridor
29.05271789,0.132282923,Corridor
15.1477736,0.180333149,Corridor
24.15573302,0.152699939,Corridor
4.882830967,0.133835294,Corridor
17.57004103,0.111988068,Corridor
2.094206532,0.287157821,Corridor
16.46914273,0.258159046,Corridor
19.53641214,0.351609953,Corridor
15.14183995,0.122025574,Corridor
22.83984283,0.184075575,Corridor
26.15747815,0.130006219,Corridor
30.00592879,0.13100203,Corridor
6.447539569,0.277017736,Corridor
17.86579931,0.114538571,Corridor
10.75050935,0.061131439,Corridor
16.26341551,0.114604003,Corridor
37.34900392,0.159458048,Corridor
29.21961815,0.296135953,Corridor
39.96411637,0.122366318,Corridor
6.432030538,0.048758606,Corridor
25.65099733,0.452792656,Corridor
23.62296227,1.026040731,Corridor
10.48076978,0.559524511,Corridor
14.09723682,0.151162016,Corridor
11.16796257,0.124658452,Corridor
13.26931965,0.27329173,Corridor
24.46202159,0.096384867,Corridor
7.07277944,0.121793876,Corridor
3.759208262,0.276716273,Corridor
22.91372028,0.144098463,Corridor
20.50776813,0.215610077,Corridor
54.14212654,0.646010846,Corridor
69.57381402,0.901929394,Corridor
35.82183386,0.325954165,Corridor
15.64034951,0.22022022,Corridor
11.94398839,0.09304671,Corridor
16.12189649,0.153089944,Corridor
8.694646687,0.146808354,Corridor
7.288555163,0.139890149,Corridor
15.21782554,0.176866697,Corridor
25.41508298,0.127147012,Corridor
15.07730736,0.112243237,Corridor
23.60846948,0.375417127,Corridor
34.91645424,0.298686949,Corridor
20.95826365,0.08729281,Corridor
12.83222129,0.208483725,Corridor
2.527527559,0.1739789,Corridor
14.82253127,0.146525659,Corridor
8.750398286,0.194981606,Corridor
9.439596655,0.125022475,Corridor
20.92262147,0.23528779,Corridor
13.77282187,0.153547926,Corridor
18.58621461,0.177375981,Corridor
19.37647235,0.218853259,Corridor
23.32892037,0.272237311,Corridor
8.009281417,0.069683708,Corridor
17.57020515,0.038651537,Corridor
12.88428606,0.0949778,Corridor
16.39776082,0.124339598,Corridor
10.21054201,0.265269979,Corridor
22.62472755,0.044787502,Corridor
20.09086832,0.096261051,Corridor
9.083629552,0.185973251,Corridor
34.73774295,0.186146091,Corridor
15.06174836,0.18204238,Corridor
15.41743766,0.161636519,Corridor
6.876344858,0.207189697,Corridor
10.89591249,0.12281265,Corridor
12.9072698,0.14609119,Corridor
10.79639057,0.220820174,Corridor
22.88167312,0.257936493,Corridor
32.4332733,0.160564036,Corridor
14.45861943,0.293997209,Corridor
27.88252346,0.370436617,Corridor
24.88043391,0.112720081,Corridor
25.43475011,0.209889626,Corridor
18.7448925,0.134126168,Corridor
20.03141754,0.214359917,Corridor
11.46341722,0.104229996,Corridor
11.63169014,0.09375179,Corridor
20.3603503,0.221676032,Corridor
22.00233038,0.147633196,Corridor
31.92660378,0.118236794,Corridor
9.412774743,0.372537972,Corridor
27.68397085,0.206482734,Corridor
54.53274523,0.10062675,Corridor
41.42752241,0.15069413,Corridor
16.43250502,0.142454406,Corridor
21.09126793,0.127684226,Corridor
9.34600501,0.244524053,Corridor
12.80776221,0.136214856,Corridor
12.87325585,0.164809548,Corridor
25.95095483,0.189585639,Corridor
24.31954923,0.246197756,Corridor
12.45694077,0.152861309,Corridor
15.37539072,0.267689668,Corridor
21.69034163,0.167501957,Corridor
6.765970426,0.222750398,Corridor
26.26943555,0.025607551,Corridor
34.03544583,0.112044544,Corridor
15.7989722,0.191634149,Corridor
20.78283371,0.108504461,Corridor
22.09615777,0.238786092,Corridor
15.63493976,0.099517842,Corridor
36.49804493,0.215238154,Corridor
20.33430148,0.141859404,Corridor
18.00468864,0.168521064,Corridor
17.0379816,0.119915566,Corridor
8.762759087,0.110572952,Corridor
16.4382163,0.095650284,Corridor
25.69055471,0.16722267,Corridor
16.82937009,0.19556403,Corridor
18.41660234,0.12271847,Corridor
15.58546846,0.180206133,Corridor
30.70735783,0.1253195,Corridor
11.26948717,0.331266684,Corridor
13.49491614,0.298461686,Corridor
29.49817677,0.168625246,Corridor
32.65929211,0.109972073,Corridor
7.519858259,0.167419413,Corridor
13.77381987,0.107963348,Corridor
22.37424834,0.383711606,Corridor
9.937118594,0.056656872,Corridor
46.5292688,0.202688063,Corridor
18.86853164,0.109684617,Corridor
15.80017839,0.233845339,Corridor
32.12444685,0.039448896,Corridor
29.59766566,0.085712348,Corridor
11.45183279,0.152764925,Corridor
7.990934106,0.393887177,Corridor
6.997742908,0.726088048,Corridor
6.704850872,1.655405726,Corridor
8.789624134,1.560304546,Corridor
5.748460038,0.455405148,Corridor
5.279796394,0.238405234,Corridor
8.098619823,0.05474709,Corridor
9.157164916,0.04691188,Corridor
10.37986634,0.968635913,Corridor
14.61442718,2.175592739,Corridor
24.46110924,1.875505828,Corridor
18.86571886,0.720835646,Corridor
6.088206016,0.269958953,Corridor
5.196978377,0.049911633,Corridor
6.394478434,0.318908244,Corridor
16.98309822,1.418757673,Corridor
20.95784692,1.675895171,Corridor
21.01083768,0.374105795,Corridor
24.62179933,0.256890736,Corridor
16.53653052,0.177024815,Corridor
9.381622952,0.045803205,Corridor
8.769905056,0.102904148,Corridor
7.769768411,0.144312991,Corridor
2.766100376,0.405436723,Corridor
13.74445958,0.144518685,Corridor
19.15653662,0.055328909,Corridor
15.02192987,0.313054907,Corridor
16.16890967,0.057438165,Corridor
4.478292653,0.155178202,Corridor
8.671527087,0.08078292,Corridor
7.643938653,0.035835863,Corridor
7.973657174,0.135153795,Corridor
10.94788313,0.097594368,Corridor
7.851512906,0.089918756,Corridor
7.850507556,0.24813854,Corridor
6.27003792,0.099179691,Corridor
25.86338553,0.058242294,Corridor
8.633826033,0.056846875,Corridor
32.77453264,0.172362436,Corridor
26.55116186,0.402745977,Corridor
45.48526104,0.144178625,Corridor
32.44171623,0.062545913,Corridor
20.71829177,0.198857751,Corridor
7.56553329,0.171783773,Corridor
17.82779589,0.191520982,Corridor
12.00011474,0.803261377,Corridor
16.01231179,0.417304272,Corridor
18.72001526,0.211111095,Corridor
16.88954165,0.045620006,Corridor
24.47097971,0.196523146,Corridor
21.1312874,0.117247415,Corridor
5.757535671,0.115512246,Corridor
5.207104417,0.219925354,Corridor
20.47640242,0.149032975,Corridor
25.32218712,0.170633995,Corridor
17.58433858,0.24643085,Corridor
23.08872444,0.260731221,Corridor
17.53653275,0.076484101,Corridor
11.80772317,0.126596148,Corridor
13.78782492,0.264249264,Corridor
14.94659571,0.211288692,Corridor
11.41105374,0.181841967,Corridor
12.54617996,0.111981232,Corridor
1.381484477,0.301711449,Corridor
17.4505556,0.297753097,Corridor
38.55446531,0.216142293,Corridor
25.58126185,0.167450963,Corridor
22.28920703,0.535374628,Corridor
14.36033844,0.264997249,Corridor
14.59807179,0.02554997,Corridor
12.16615151,0.14286781,Corridor
11.79559039,0.118703243,Corridor
23.73280255,0.241353991,Corridor
6.044009583,0.143503476,Corridor
10.28101902,0.261134281,Corridor
15.75891573,0.202980185,Corridor
25.68553141,0.154915378,Corridor
6.018159257,0.122682366,Corridor
12.04128602,0.188897911,Corridor
24.21643958,0.116724437,Corridor
21.88443442,0.119785286,Corridor
13.2347047,0.158566721,Corridor
26.2434584,0.09692015,Corridor
24.24439038,0.167798696,Corridor
12.55971138,0.104156217,Corridor
9.127383724,0.198793977,Corridor
20.01587313,0.202426518,Corridor
20.26998419,0.123095975,Corridor
28.28218103,0.166290592,Corridor
34.33464629,0.330288495,Corridor
37.31881542,0.079984158,Corridor
39.04632761,0.225117845,Corridor
31.1957947,0.177209355,Corridor
37.22903844,0.171121951,Corridor
12.06158123,0.129252194,Corridor
12.61533215,0.164203872,Corridor
24.88386644,0.295097548,Corridor
15.94906693,0.224172908,Corridor
38.73229918,0.197930554,Corridor
30.97270515,0.180507121,Corridor
19.847196,0.240718706,Corridor
33.13802561,0.057518133,Corridor
28.71703503,0.128802948,Corridor
19.99081312,0.147797842,Corridor
32.37703686,0.099457559,Corridor
12.87459607,0.205861082,Corridor
14.18408319,0.101377035,Corridor
7.148059597,0.226693287,Corridor
12.84975237,0.199424094,Corridor
11.18404439,0.183026022,Corridor
47.68054351,0.121917001,Corridor
31.18915903,0.342900962,Corridor
26.49233066,0.129399173,Corridor
33.88135942,0.151186918,Corridor
26.04945122,0.127678898,Corridor
18.05262377,0.111402849,Corridor
26.83770102,0.253933578,Corridor
11.17657054,0.132269231,Corridor
5.504972661,0.104661954,Corridor
12.75410428,0.190789626,Corridor
20.28450268,0.134272467,Corridor
26.09368153,0.146478461,Corridor
23.24681699,0.189811366,Corridor
3.547525335,0.09845455,Corridor
20.38369753,0.06473157,Corridor
13.97591772,0.237630926,Corridor
28.37380581,0.201266315,Corridor
8.551684045,0.164043348,Corridor
9.121136388,0.139462331,Corridor
11.01387856,0.155273983,Corridor
41.96198385,0.317200195,Corridor
28.13822802,0.196748632,Corridor
38.55090584,0.116767953,Corridor
41.21653037,0.173326952,Corridor
23.06629491,0.105353815,Corridor
11.34471242,0.051242001,Corridor
10.06184257,0.056239014,Corridor
12.43001609,0.163326025,Corridor
7.135742148,0.262975521,Corridor
23.32354392,0.116395376,Corridor
20.2183141,0.16023881,Corridor
18.36154525,0.189655227,Corridor
32.97082189,0.195556461,Corridor
24.82857066,0.121518567,Corridor
20.87751808,0.186849727,Corridor
5.818656976,0.163339556,Corridor
20.33709933,0.043831744,Corridor
27.95956239,0.090014713,Corridor
9.619244305,0.147551265,Corridor
16.95374755,0.212522622,Corridor
6.140815011,0.084358076,Corridor
5.801898051,0.083593642,Corridor
15.07372552,0.294141318,Corridor
11.3500733,0.072858667,Corridor
25.19108048,0.158880085,Corridor
24.74441723,0.28609521,Corridor
26.49003503,0.223343955,Corridor
25.61900771,0.098537723,Corridor
17.10377736,0.101073996,Corridor
16.99888893,0.157874997,Corridor
5.228762377,0.089114818,Corridor
10.20873356,0.233055478,Corridor
11.34747219,0.093673652,Corridor
18.15755336,0.181409814,Corridor
13.16171421,0.109169856,Corridor
40.50859909,0.260569741,Corridor
5.181284493,0.173119578,Corridor
15.80907651,0.232523551,Corridor
14.97865111,0.160626848,Corridor
15.22537293,0.114463669,Corridor
16.35428996,0.095701438,Corridor
23.15645405,0.121457835,Corridor
12.28244035,0.123311546,Corridor
7.942553053,0.138369738,Corridor
10.84800908,0.143317005,Corridor
15.82491656,0.16345888,Corridor
57.73180964,0.101445219,Corridor
26.45082418,0.27730233,Corridor
15.21834012,0.368095499,Corridor
39.74162674,0.256947638,Corridor
35.63515013,0.232884726,Corridor
7.49591362,0.209665103,Corridor
17.60206127,0.048388803,Corridor
19.74203356,0.120613822,Corridor
9.680626478,0.162559038,Corridor
19.52456865,0.077314903,Corridor
20.06869754,0.049070618,Corridor
16.45965446,0.541739082,Corridor
12.3165362,1.377773204,Corridor
20.91524085,1.706997191,Corridor
22.47093948,2.195854398,Corridor
32.14230734,0.932645977,Corridor
28.63623699,0.265021959,Corridor
11.01683897,0.18581235,Corridor
6.2654596,0.108340339,Corridor
10.20256639,0.172820012,Corridor
20.2161779,0.24206454,Corridor
19.69722275,0.193652952,Corridor
49.2519263,0.208635919,Corridor
22.29212572,0.278609937,Corridor
25.72120582,0.302059769,Corridor
51.15988066,0.499862481,Corridor
44.82429991,0.875830487,Corridor
5.564945506,0.172050337,Corridor
