d_footforce_dt,Environment
-202.6719283417325,Running
9.07067833298129,Running
-15.317962597191272,Running
7.616379550550506,Running
-6.651770992897819,Running
0.6965363977567491,Running
13.070386136044387,Running
-7.086776952250567,Running
-0.4389462730108055,Running
-6.285514144193737,Running
-3.9470486369033586,Running
21.03640725967777,Running
-7.330789272704633,Running
-8.32143348751893,Running
-0.5824297735525805,Running
-2.8543956495985285,Running
9.780976675640828,Running
-5.7416557606981025,Running
12.117918605760487,Running
0.9698686752593454,Running
-14.357897575975402,Running
1.8720546550260764,Running
-8.403376001295534,Running
10.808746891120139,Running
-5.611110766217671,Running
-16.21630985106181,Running
12.3947010383798,Running
19.944916668239923,Running
-18.672989679535238,Running
0.44815678676221843,Running
2.325906843176438,Running
4.165748099461496,Running
-3.469166990755674,Running
-4.551602107693839,Running
7.692493671470965,Running
-11.123788630206239,Running
19.686026281297195,Running
-14.011225903339808,Running
6.078598812767075,Running
-3.0438898937679038,Running
-8.027445156867593,Running
4.8558073070908065,Running
3.1811242108253355,Running
12.494900416252863,Running
-8.101752021014681,Running
2.9741818146385284,Running
-4.419882852916594,Running
0.5849704444280115,Running
2.3704897738561552,Running
4.6164909987232035,Running
-5.38851252829918,Running
1.8953953880080388,Running
1.1684027606322431,Running
-33.01113842165943,Running
109.81295517117236,Running
-312.23433230000796,Running
1300.6828599494063,Running
2293.930195949249,Running
-2097.03676973754,Running
-1430.8281476049683,Running
1214.3070372696025,Running
-170.75625515958646,Running
-641.8271991215012,Running
1670.1587696889721,Running
902.1089190202251,Running
-529.5625646791634,Running
920.0653906405556,Running
-1627.7796820219903,Running
-974.2873344068405,Running
2312.370226231958,Running
-1208.854257103877,Running
791.3743472761324,Running
-1206.2173245844103,Running
-2508.2924127474334,Running
2153.5024830382686,Running
-2037.9733752892196,Running
204.37725426258396,Running
1510.3639959266811,Running
2065.995904624655,Running
-1855.753742079946,Running
-116.85786380564369,Running
2937.3516154268646,Running
-1185.7791926801046,Running
1300.8107548531402,Running
-1580.2605918397837,Running
-487.4270923605504,Running
-2168.8285635373736,Running
1412.6756833368643,Running
1170.4055392694052,Running
-2221.9868945005505,Running
1149.949528916831,Running
-141.05469042367238,Running
-826.6238108046518,Running
-315.7179441727628,Running
549.0317519905933,Running
-230.01891469176363,Running
2240.494402653925,Running
-916.4979092534498,Running
-1213.7553144751707,Running
945.1818247294242,Running
-2234.2908459908026,Running
228.94392608198606,Running
99.03309723146118,Running
2131.558944830916,Running
347.7550425708145,Running
107.80075088793416,Running
374.81600957890004,Running
1867.7333676991545,Running
-2695.2547203549652,Running
-3531.919625140056,Running
4867.647385254738,Running
-3511.966623737013,Running
1883.0372274286237,Running
1859.973910248833,Running
-5065.186435752779,Running
1329.5234099345635,Running
1381.356879562459,Running
-1171.0683142601936,Running
1776.9994720278064,Running
-1110.9887309026522,Running
-771.666934826717,Running
3275.714098683641,Running
-1638.9473963016947,Running
-574.1057732820626,Running
613.5682703575342,Running
-11.79076769508623,Running
-863.229471109643,Running
-1391.3300176855507,Running
3981.555951954278,Running
-119.62099677286794,Running
-681.5584498358006,Running
-2529.3282482841746,Running
715.6133846369055,Running
1380.9610146334685,Running
-2259.818016237372,Running
2920.2775946678053,Running
586.2502119565452,Running
-1832.0720953055002,Running
99.91890012161356,Running
251.51078076993898,Running
1783.1126881954053,Running
-1349.1383943214894,Running
-3313.763425777447,Running
5360.214181869374,Running
-616.9943870783155,Running
-3992.7338656265756,Running
3014.964192088644,Running
-1360.2606837434816,Running
-1250.9647277096446,Running
872.4033341297851,Running
1750.077424750146,Running
188.21116080781277,Running
-2193.1075249883265,Running
765.1930641625797,Running
-197.50989888304892,Running
141.502730268836,Running
-1459.7391044849564,Running
2782.923499886338,Running
1094.7507779100872,Running
-2381.3848420624636,Running
3226.4198653160965,Running
-1654.1294014401803,Running
-1225.441222547961,Running
3330.7941015468596,Running
-2711.5637601372878,Running
-1155.6029698052541,Running
2290.963343118219,Running
-982.2813805832698,Running
118.13292861764005,Running
362.2456290084296,Running
356.649305934784,Running
1447.0727319823084,Running
-3138.3604720105914,Running
1550.2500102608597,Running
-835.9492303226035,Running
-2934.5070734359806,Running
1512.7673055954149,Running
894.4694068152829,Running
-9.083890310946536,Running
-243.48976822560041,Running
141.91943538451414,Running
196.90316132206337,Running
1060.9283846209976,Running
-1128.9276148362303,Running
-260.22005479073385,Running
916.8650858499287,Running
-2.122397975418744,Running
-1387.8556504150863,Running
338.3521636186219,Running
-703.9939784811783,Running
1959.4466077205454,Running
-462.9922667796242,Running
-1513.7643472222715,Running
-838.1338901037087,Running
696.0365090137942,Running
2572.5978357568138,Running
-2944.2135108022544,Running
1901.1692948612322,Running
1400.6066706124896,Running
-3079.212872029585,Running
-628.6072583405834,Running
2621.9243812698637,Running
-594.5654333738665,Running
-1374.9708276114063,Running
-1821.504017733246,Running
357.03531132652193,Running
3115.4970893339555,Running
-2517.1887504118267,Running
1703.9801991734441,Running
1674.512354572078,Running
-1430.8238832940904,Running
1073.6801197716952,Running
-394.8357361521547,Running
-1448.5132586249065,Running
-1598.2859863859194,Running
2972.9435021733966,Running
78.59340355197277,Running
-1203.07213974635,Running
2661.421466473183,Running
-755.0347305973602,Running
273.6227870758961,Running
-2707.726038956733,Running
608.7056840513325,Running
1760.8081887173055,Running
-229.6830548896259,Running
-1022.831904970359,Running
1015.9891425578102,Running
107.80413332471423,Running
-1555.588728164565,Running
3035.2951210056553,Running
-2828.654278728385,Running
-699.9691829263168,Running
-605.4764995091368,Running
684.2638861016301,Running
1951.0614026426995,Running
-1195.6415932999284,Running
947.5202225732451,Running
780.4379686854002,Running
535.3602940352808,Running
-3341.1282118207578,Running
1190.2490405514081,Running
-345.19379184842893,Running
-2056.8692879249525,Running
3581.299251743456,Running
-1015.1932819895774,Running
-2057.757061366758,Running
2554.2209084203,Running
1212.6823592764915,Running
-1532.9906307482872,Running
3228.0671720763,Running
1296.3535533738545,Running
-3578.708274130014,Running
-479.1850171663325,Running
-1245.685562949347,Running
606.9165913530213,Running
1620.1811872489068,Running
-1395.5286377703733,Running
328.4865656550697,Running
1503.2630835597265,Running
-1533.5396344487956,Running
-817.407267130287,Running
-249.21464983805512,Running
-3610.4664376047217,Running
2472.273074715591,Running
1418.0801381680367,Running
-448.5979936245359,Running
494.71476444058754,Running
-323.1459330936988,Running
635.6771574783937,Running
-807.4957799224615,Running
-196.3344468486521,Running
71.9558621343422,Running
916.45574771853,Running
270.9415967202577,Running
-698.0616614994518,Running
-174.8650287423312,Running
2050.472498137588,Running
-2709.005084265922,Running
1881.118438736573,Running
1817.5270104611566,Running
-2684.2698419379303,Running
3030.6417949881243,Running
-3111.3841512886324,Running
-1678.9547851923817,Running
6625.681724615772,Running
-2159.0992462683707,Running
-1873.1760000129943,Running
3105.2181062882546,Running
-3767.1362888431436,Running
2585.9950671286065,Running
-448.3472941582257,Running
-4714.988364609475,Running
916.22284701681,Running
487.4513302473899,Running
