T_FR_HIP,T_FR_THIGH,T_FR_CALF,T_FL_HIP,T_FL_THIGH,T_FL_CALF,T_RR_HIP,T_RR_THIGH,T_RR_CALF,T_RL_HIP,T_RL_THIGH,T_RL_CALF,Environment
0.0014153177559640242,0.01269271620968969,0.003116031725897567,0.0014153177559640242,0.01269271620968969,0.003116031725897567,0.0014153177559640242,0.01269271620968969,0.003116031725897567,0.0014153177559640242,0.01269271620968969,0.003116031725897567,Running
3.218939202428191e-05,0.0004210812238385239,0.00010344329449922316,3.218939202428191e-05,0.0004210812238385239,0.00010344329449922316,3.218939202428191e-05,0.0004210812238385239,0.00010344329449922316,3.218939202428191e-05,0.0004210812238385239,0.00010344329449922316,Running
3.805025345365432e-05,0.00028005573693283683,6.868663766699614e-05,3.805025345365432e-05,0.00028005573693283683,6.868663766699614e-05,3.805025345365432e-05,0.00028005573693283683,6.868663766699614e-05,3.805025345365432e-05,0.00028005573693283683,6.868663766699614e-05,Running
4.7655501576423275e-05,0.0003459928988939245,8.48791604242545e-05,4.7655501576423275e-05,0.0003459928988939245,8.48791604242545e-05,4.7655501576423275e-05,0.0003459928988939245,8.48791604242545e-05,4.7655501576423275e-05,0.0003459928988939245,8.48791604242545e-05,Running
3.1537381038314656e-05,0.00022822766710569302,5.597268976837173e-05,3.1537381038314656e-05,0.00022822766710569302,5.597268976837173e-05,3.1537381038314656e-05,0.00022822766710569302,5.597268976837173e-05,3.1537381038314656e-05,0.00022822766710569302,5.597268976837173e-05,Running
1.2811174779237132e-06,8.074600096578004e-06,1.9377025269813916e-06,1.2811174779237132e-06,8.074600096578004e-06,1.9377025269813916e-06,1.2811174779237132e-06,8.074600096578004e-06,1.9377025269813916e-06,1.2811174779237132e-06,8.074600096578004e-06,1.9377025269813916e-06,Running
1.636447352362883e-05,0.00011433356571026384,2.7949577846168494e-05,1.636447352362883e-05,0.00011433356571026384,2.7949577846168494e-05,1.636447352362883e-05,0.00011433356571026384,2.7949577846168494e-05,1.636447352362883e-05,0.00011433356571026384,2.7949577846168494e-05,Running
6.29012681011962e-06,3.6425431186739747e-05,8.653395987002994e-06,6.29012681011962e-06,3.6425431186739747e-05,8.653395987002994e-06,6.29012681011962e-06,3.6425431186739747e-05,8.653395987002994e-06,6.29012681011962e-06,3.6425431186739747e-05,8.653395987002994e-06,Running
1.1971188426094207e-05,0.00012819109169871058,3.135003999667306e-05,1.1971188426094207e-05,0.00012819109169871058,3.135003999667306e-05,1.1971188426094207e-05,0.00012819109169871058,3.135003999667306e-05,1.1971188426094207e-05,0.00012819109169871058,3.135003999667306e-05,Running
1.237344294777274e-05,8.161484338897097e-05,1.9878435095274786e-05,1.237344294777274e-05,8.161484338897097e-05,1.9878435095274786e-05,1.237344294777274e-05,8.161484338897097e-05,1.9878435095274786e-05,1.237344294777274e-05,8.161484338897097e-05,1.9878435095274786e-05,Running
1.1663035476423264e-05,0.00012474899659746635,3.051926362558445e-05,1.1663035476423264e-05,0.00012474899659746635,3.051926362558445e-05,1.1663035476423264e-05,0.00012474899659746635,3.051926362558445e-05,1.1663035476423264e-05,0.00012474899659746635,3.051926362558445e-05,Running
5.917984389287665e-06,7.669025712167882e-05,1.8833217837404217e-05,5.917984389287665e-06,7.669025712167882e-05,1.8833217837404217e-05,5.917984389287665e-06,7.669025712167882e-05,1.8833217837404217e-05,5.917984389287665e-06,7.669025712167882e-05,1.8833217837404217e-05,Running
